name,price,description,image_urls
Gold Maroon Kundan Floral Necklace Set,2250,Pepper your festive look with the grandeur of this imposing goldplated maroon kundan necklace set It features alternating floral and square shaped kundan pieces on a single layer choker necklace along with complementing earrings   Style Tip Pair the set with an offshoulder neckline Disclaimer Our jewelry is handcrafted using natural stones which inherently vary in size colour and Shape due to which the product you receive may be slightly different from what is shown There may be natural blemishes in the stones that are not product flaws but in fact are what make your piece unique  ,"https://img.faballey.com/images/Product/ZNS00058/d3.jpg,https://img.faballey.com/images/Product/ZNS00058/d4.jpg,https://img.faballey.com/images/Product/ZNS00058/d5.jpg,https://img.faballey.com/images/Product/ZNS00058/d6.jpg"
Gold Kundan Blue Bead Earring Necklace Set,1750,This statement kundan and blue bead set is what dream treasure troves are made of Features a double blue bead string necklace with kundan drops and matching earring   Style Tip Keep the outfit light to work the look right,"https://img.faballey.com/images/Product/ZNS00041/d3.jpg,https://img.faballey.com/images/Product/ZNS00041/d4.jpg,https://img.faballey.com/images/Product/ZNS00041/d5.jpg,https://img.faballey.com/images/Product/ZNS00041/d6.jpg"
Dual Gold Kundan Green Bead Earring Necklace Set,1750,Color  Gold White Pastel Pink AquaComposition  Alloy Glass Beads Closure Dori,"https://img.faballey.com/images/Product/ZNS00055/d3.jpg,https://img.faballey.com/images/Product/ZNS00055/d4.jpg,https://img.faballey.com/images/Product/ZNS00055/d5.jpg,https://img.faballey.com/images/Product/ZNS00055/d6.jpg"
Multi Gold Kundan Red Meena Beaded Earring Necklace Set,1750,Color  Gold White RedComposition  Alloy Glass Beads Feature  Meenakari WorkClosure Dori,"https://img.faballey.com/images/Product/ZNS00057/d3.jpg,https://img.faballey.com/images/Product/ZNS00057/d4.jpg,https://img.faballey.com/images/Product/ZNS00057/d5.jpg,https://img.faballey.com/images/Product/ZNS00057/d6.jpg"
White Blue Diamond Drop String Earring Necklace Set,2875,Color  Gold White Blue Composition  Alloy Stone Closure Lobster Clasp Push Back,"https://img.faballey.com/images/Product/ZNS00031/d3.jpg,https://img.faballey.com/images/Product/ZNS00031/d4.jpg,https://img.faballey.com/images/Product/ZNS00031/d5.jpg,https://img.faballey.com/images/Product/ZNS00031/d6.jpg"
Gold Kundan Mangtika Earring Necklace Set,3500,Color Gold White  Composition Alloy Glass Pearl  Closure  Dori Push Back Hook Length  30 Mm,"https://img.faballey.com/images/Product/ZNS00002/d3.jpg,https://img.faballey.com/images/Product/ZNS00002/d4.jpg,https://img.faballey.com/images/Product/ZNS00002/d5.jpg,https://img.faballey.com/images/Product/ZNS00002/d6.jpg,https://img.faballey.com/images/Product/ZNS00002/d7.jpg"
Gold Leaf Kundan Double Pearl Earrings Necklace Set,1750,Color  Gold WhiteComposition  Alloy Glass Pearl Closure DoriLength  120 Mm,"https://img.faballey.com/images/Product/ZNS00045/d3.jpg,https://img.faballey.com/images/Product/ZNS00045/d4.jpg,https://img.faballey.com/images/Product/ZNS00045/d5.jpg,https://img.faballey.com/images/Product/ZNS00045/d6.jpg"
White Blue Diamond Earring Pendant Necklace Set,2625,Color  White Blue Composition  Alloy Stone Closure Lobster ClaspLength  30 Mm,"https://img.faballey.com/images/Product/ZNS00011/d3.jpg,https://img.faballey.com/images/Product/ZNS00011/d4.jpg,https://img.faballey.com/images/Product/ZNS00011/d5.jpg,https://img.faballey.com/images/Product/ZNS00011/d6.jpg"
Gold Kundan Tukdi Earring Necklace Set,2500,Color  Gold WhiteComposition  Alloy Glass Pearl Features  Enamel DetailClosure Dori Push BackLength  20 Mm,"https://img.faballey.com/images/Product/ZNS00007/d3.jpg,https://img.faballey.com/images/Product/ZNS00007/d4.jpg,https://img.faballey.com/images/Product/ZNS00007/d5.jpg,https://img.faballey.com/images/Product/ZNS00007/d6.jpg"
Gold Kundan Green Drop Double Orb Earring Necklace Set,2250,Glam up this festive season with this stunning double layered kundan set Features a double layered kundan necklace with green drop beads and matching earrings   Style Tip  Style your hair in starlet waves to complement the elegance of the set,"https://img.faballey.com/images/Product/ZNS00038/d3.jpg,https://img.faballey.com/images/Product/ZNS00038/d4.jpg,https://img.faballey.com/images/Product/ZNS00038/d5.jpg,https://img.faballey.com/images/Product/ZNS00038/d6.jpg"
Dual Toned Oxidized Triangular Earrings Necklace Set,1900,Color Gold Silver Blue  Composition Alloy  Closure Lobster Clasp Length  330 Mm,"https://img.faballey.com/images/Product/ZNS00020/d3.jpg,https://img.faballey.com/images/Product/ZNS00020/d4.jpg,https://img.faballey.com/images/Product/ZNS00020/d5.jpg,https://img.faballey.com/images/Product/ZNS00020/d6.jpg,https://img.faballey.com/images/Product/ZNS00020/d8.jpg"
